メーカー,世代,種別,CPU名,コア数,スレッド数,最大クロック
Intel,Coffee Lake Refresh,i9,Core i9-9980H,8,16,4.8
Intel,Coffee Lake Refresh,i7,Core i7-9850H,6,12,4.6
Intel,Coffee Lake Refresh,i7,Core i7-9850HF,6,12,4.5
Intel,Coffee Lake Refresh,i7,Core i7-9750H,6,12,4.5
Intel,Coffee Lake Refresh,i5,Core i5-9400H,4,8,4.3
Intel,Coffee Lake Refresh,i5,Core i5-9300HF,4,8,4.1
Intel,Coffee Lake Refresh,i5,Core i5-9300H,4,8,4.1
Apple,M1,m1,M1,8,8,3.2
Apple,M1,m1,M1 Max,10,10,3.2
Apple,M1,m1,M1 Pro,10,10,3.2
Apple,M1,m1,M1 Ultra,20,20,3.2
Apple,M2,m2,M2,8,8,3.49
Apple,M2,m2,M2 Pro,10,10,3.49
Apple,M2,m2,M2 Max,12,12,3.67
Apple,M2,m2,M2 Ultra,24,24,3.68
Intel,Coffee Lake,i7,Core i7-8086K,6,12,4
Intel,Coffee Lake,i7,Core i7-8700K,6,12,3.7
Intel,Coffee Lake,i7,Core i7-8700,6,12,3.2
Intel,Coffee Lake,i7,Core i7-8700T,6,12,2.4
Intel,Coffee Lake,i5,Core i5-8600K,6,6,3.6
Intel,Coffee Lake,i5,Core i5-8600,6,6,3.1
Intel,Coffee Lake,i5,Core i5-8600T,6,6,2.3
Intel,Coffee Lake,i5,Core i5-8500,6,6,3
Intel,Coffee Lake,i5,Core i5-8500T,6,6,2.1
Intel,Coffee Lake,i5,Core i5-8400,6,6,2.8
Intel,Coffee Lake,i5,Core i5-8400T,6,6,1.7
Intel,Coffee Lake,i3,Core i3-8350K,4,4,4
Intel,Coffee Lake,i3,Core i3-8300,4,4,3.7
Intel,Coffee Lake,i3,Core i3-8300T,4,4,3.2
Intel,Coffee Lake,i3,Core i3-8100,4,4,3.6
Intel,Coffee Lake,i3,Core i3-8100T,4,4,3.1
Intel,Coffee Lake,xeon,Xeon E-2186M,6,12,4.8
Intel,Coffee Lake,xeon,Xeon E-2176M,6,12,4.4
Intel,Coffee Lake,i9,Core i9-8950HK,6,12,4.8
Intel,Coffee Lake,i7,Core i7-8850H,6,12,4.3
Intel,Coffee Lake,i7,Core i7-8750H,6,12,4.1
Intel,Coffee Lake,i7,Core i7-8700B,6,12,4.6
Intel,Coffee Lake,i7,Core i7-8559U,4,8,4.5
Intel,Coffee Lake,i5,Core i5-8500B,6,6,4.1
Intel,Coffee Lake,i5,Core i5-8400B,6,6,4
Intel,Coffee Lake,i5,Core i5-8400H,4,8,4.2
Intel,Coffee Lake,i5,Core i5-8300H,4,8,4
Intel,Coffee Lake,i5,Core i5-8269U,4,8,4.2
Intel,Coffee Lake,i5,Core i5-8259U,4,8,3.8
Intel,Coffee Lake,i3,Core i3-8109U,2,4,3.6
Intel,Coffee Lake,i3,Core i3-8100H,4,4,N/A
Intel,,,,,,
Intel,,,,,,
Intel,,,,,,
Intel,,,,,,
